Chip Number,Status,,Last Update,,Total,214,
425,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
426,QC and Bist Coverage,"test_power.py::test_currentdraw_1p2V, assert 0.239974 > 0.24",,,,,
427,QC and Bist Coverage,ALL PASS,"Shipped to Minnesota, Aug 8",,,,
428,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
429,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
430,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed",,,,,
431,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
432,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
433,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
434,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.01 failed",,,,,
435,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.02 failed",,,,,
436,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed",,,,,
437,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
438,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
439,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.04 failed",,,,,
440,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
441,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
442,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
443,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
444,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
445,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.02 failed",,,,,
446,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
447,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
448,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
449,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
450,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
451,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
452,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
453,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.09 failed",,,,,
454,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
455,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed",,,,,
456,QC and Bist Coverage,"test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37]        , AssertionError: 1.527067267313125e-05
assert 1 == 0",,,,,
457,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
458,NO TEST,Current Reading 0.6 A before starting the tests,,,,,
459,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
460,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
461,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
462,QC and Bist Coverage,ALL PASS,,,,,
463,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed",,,,,
464,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.05 failed",,,,,
465,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37]        , AssertionError: 1.5252505223983039e-05
test_packets.py::test_fill_buffer, AssertionError: 1.529683508482095e-05",,,,,
466,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
467,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
468,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
469,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
470,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.06 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
471,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
